,Complaints,Violations,Gap
"100 POST AVENUE New York, NY 10034",4.0,19.0,-15.0
"100 RIVERSIDE BOULEVARD New York, NY 10069",0.0,1.0,-1.0
"100 SEAMAN AVENUE New York, NY 10034",27.0,32.0,-5.0
"100 ST MARKS PLACE New York, NY 10009",2.0,0.0,2.0
"100 ST NICHOLAS AVENUE New York, NY 10026",1.0,2.0,-1.0
"100 STANTON STREET New York, NY 10002",1.0,0.0,1.0
"100 SUFFOLK STREET New York, NY 10002",6.0,3.0,3.0
"100 TERRACE VIEW AVENUE New York, NY 10463",1.0,1.0,0.0
"100 WEST 130 STREET New York, NY 10027",2.0,20.0,-18.0
"100 WEST 18 STREET New York, NY 10011",0.0,1.0,-1.0
"100 WEST 26 STREET New York, NY 10001",0.0,2.0,-2.0
"100 WEST 67 STREET New York, NY 10023",4.0,1.0,3.0
"100 WEST 72 STREET New York, NY 10023",0.0,1.0,-1.0
"100 WEST 74 STREET New York, NY 10023",0.0,1.0,-1.0
"100 WEST 81 STREET New York, NY 10024",0.0,1.0,-1.0
"100 WEST 85 STREET New York, NY 10024",0.0,2.0,-2.0
"100 WEST 92 STREET New York, NY 10025",1.0,3.0,-2.0
"100 WEST HOUSTON STREET New York, NY 10012",0.0,1.0,-1.0
"100 WOOSTER STREET New York, NY 10012",0.0,1.0,-1.0
"1004 2 AVENUE New York, NY 10022",0.0,1.0,-1.0
"1006 1 AVENUE New York, NY 10022",1.0,1.0,0.0
"1006 MADISON AVENUE New York, NY 10075",0.0,1.0,-1.0
"1007 2 AVENUE New York, NY 10022",2.0,2.0,0.0
"1007 LEXINGTON AVENUE New York, NY 10021",12.0,1.0,11.0
"1009 5 AVENUE New York, NY 10028",0.0,2.0,-2.0
"1009 MADISON AVENUE New York, NY 10075",1.0,0.0,1.0
"101 1 AVENUE New York, NY 10003",0.0,2.0,-2.0
"101 2 AVENUE New York, NY 10003",1.0,0.0,1.0
"101 4 AVENUE New York, NY 10003",3.0,0.0,3.0
"101 7 AVENUE New York, NY 10011",1.0,1.0,0.0
"101 7 AVENUE SOUTH New York, NY 10014",0.0,1.0,-1.0
"101 AVENUE A New York, NY 10009",0.0,1.0,-1.0
"101 AVENUE D New York, NY 10009",6.0,0.0,6.0
"101 BOWERY New York, NY 10002",17.0,9.0,8.0
"101 CLINTON STREET New York, NY 10002",3.0,0.0,3.0
"101 DELANCEY STREET New York, NY 10002",6.0,2.0,4.0
"101 DYCKMAN STREET New York, NY 10040",9.0,9.0,0.0
"101 EAST 10 STREET New York, NY 10003",0.0,1.0,-1.0
"101 EAST 101 STREET New York, NY 10029",1.0,1.0,0.0
"101 EAST 102 STREET New York, NY 10029",2.0,1.0,1.0
"101 EAST 103 STREET New York, NY 10029",1.0,0.0,1.0
"101 EAST 106 STREET New York, NY 10029",1.0,0.0,1.0
"101 EAST 119 STREET New York, NY 10035",2.0,0.0,2.0
"101 EAST 96 STREET New York, NY 10128",4.0,5.0,-1.0
"101 EAST BROADWAY New York, NY 10002",1.0,1.0,0.0
"101 LEXINGTON AVENUE New York, NY 10016",1.0,0.0,1.0
"101 MAC DOUGAL STREET New York, NY 10012",4.0,1.0,3.0
"101 MADISON STREET New York, NY 10002",0.0,1.0,-1.0
"101 MANHATTAN AVENUE New York, NY 10025",0.0,2.0,-2.0
"101 MORNINGSIDE AVENUE New York, NY 10027",0.0,2.0,-2.0
"101 ORCHARD STREET New York, NY 10002",3.0,0.0,3.0
"101 POST AVENUE New York, NY 10034",343.0,268.0,75.0
"101 RIVINGTON STREET New York, NY 10002",0.0,1.0,-1.0
"101 ST MARKS PLACE New York, NY 10009",5.0,2.0,3.0
"101 STANTON STREET New York, NY 10002",3.0,0.0,3.0
"101 VERMILYEA AVENUE New York, NY 10034",1.0,0.0,1.0
"101 WADSWORTH AVENUE New York, NY 10033",0.0,6.0,-6.0
"101 WAVERLY PLACE New York, NY 10011",0.0,1.0,-1.0
"101 WEST 109 STREET New York, NY 10025",4.0,0.0,4.0
"101 WEST 117 STREET New York, NY 10026",0.0,1.0,-1.0
"101 WEST 121 STREET New York, NY 10027",0.0,2.0,-2.0
"101 WEST 131 STREET New York, NY 10027",2.0,0.0,2.0
"101 WEST 138 STREET New York, NY 10030",1.0,0.0,1.0
"101 WEST 147 STREET New York, NY 10039",24.0,47.0,-23.0
"101 WEST 23 STREET New York, NY 10011",4.0,1.0,3.0
"101 WEST 27 STREET New York, NY 10001",0.0,2.0,-2.0
"101 WEST 70 STREET New York, NY 10023",0.0,1.0,-1.0
"101 WEST 71 STREET New York, NY 10023",0.0,1.0,-1.0
"101 WEST 72 STREET New York, NY 10023",7.0,5.0,2.0
"101 WEST 77 STREET New York, NY 10024",7.0,0.0,7.0
"101 WEST 81 STREET New York, NY 10024",0.0,2.0,-2.0
"101 WEST 85 STREET New York, NY 10024",16.0,1.0,15.0
"101 WEST 86 STREET New York, NY 10024",1.0,4.0,-3.0
"101 WEST END AVENUE New York, NY 10069",1.0,0.0,1.0
"1010 3 AVENUE New York, NY 10065",0.0,1.0,-1.0
"1016 MADISON AVENUE New York, NY 10075",0.0,2.0,-2.0
"1019 LEXINGTON AVENUE New York, NY 10021",0.0,1.0,-1.0
"101A WEST 136 STREET New York, NY 10030",0.0,2.0,-2.0
"102 1 AVENUE New York, NY 10009",0.0,1.0,-1.0
"102 2 AVENUE New York, NY 10003",0.0,1.0,-1.0
"102 3 AVENUE New York, NY 10003",0.0,1.0,-1.0
"102 AVENUE B New York, NY 10009",0.0,1.0,-1.0
"102 AVENUE C New York, NY 10009",0.0,2.0,-2.0
"102 BAYARD STREET New York, NY 10013",0.0,1.0,-1.0
