,Complaints,Violations,Gap
"356 WEST 44 STREET New York, NY 10036",70.0,32.0,38.0
"356 WEST 45 STREET New York, NY 10036",1.0,0.0,1.0
"356 WEST BROADWAY New York, NY 10013",1.0,0.0,1.0
"3565 BROADWAY New York, NY 10031",11.0,39.0,-28.0
"357 1 AVENUE New York, NY 10010",0.0,1.0,-1.0
"357 6 AVENUE New York, NY 10014",0.0,1.0,-1.0
"357 EAST 50 STREET New York, NY 10022",0.0,1.0,-1.0
"357 EAST 68 STREET New York, NY 10065",5.0,8.0,-3.0
"357 WEST 115 STREET New York, NY 10026",0.0,2.0,-2.0
"357 WEST 116 STREET New York, NY 10026",0.0,2.0,-2.0
"357 WEST 118 STREET New York, NY 10026",3.0,5.0,-2.0
"357 WEST 12 STREET New York, NY 10014",0.0,2.0,-2.0
"357 WEST 22 STREET New York, NY 10011",1.0,6.0,-5.0
"357 WEST 29 STREET New York, NY 10001",0.0,1.0,-1.0
"357 WEST 30 STREET New York, NY 10001",0.0,2.0,-2.0
"357 WEST 39 STREET New York, NY 10018",16.0,1.0,15.0
"357 WEST 45 STREET New York, NY 10036",34.0,8.0,26.0
"357 WEST 54 STREET New York, NY 10019",1.0,0.0,1.0
"357 WEST END AVENUE New York, NY 10024",0.0,1.0,-1.0
"3570 BROADWAY New York, NY 10031",4.0,18.0,-14.0
"358 BROOME STREET New York, NY 10013",1.0,0.0,1.0
"358 WEST 116 STREET New York, NY 10026",0.0,2.0,-2.0
"358 WEST 123 STREET New York, NY 10027",0.0,5.0,-5.0
"358 WEST 127 STREET New York, NY 10027",4.0,0.0,4.0
"358 WEST 15 STREET New York, NY 10011",5.0,2.0,3.0
"358 WEST 23 STREET New York, NY 10011",0.0,2.0,-2.0
"358 WEST 51 STREET New York, NY 10019",7.0,2.0,5.0
"3580 BROADWAY New York, NY 10031",91.0,73.0,18.0
"359 EAST 50 STREET New York, NY 10022",2.0,4.0,-2.0
"359 FT WASHINGTON AVENUE New York, NY 10033",0.0,7.0,-7.0
"359 LENOX AVENUE New York, NY 10027",3.0,5.0,-2.0
"359 REAR EAST 19 STREET New York, NY 10003",0.0,1.0,-1.0
"359 WEST 11 STREET New York, NY 10014",0.0,1.0,-1.0
"359 WEST 117 STREET New York, NY 10026",0.0,1.0,-1.0
"359 WEST 20 STREET New York, NY 10011",2.0,1.0,1.0
"359 WEST 29 STREET New York, NY 10001",0.0,2.0,-2.0
"359 WEST 30 STREET New York, NY 10001",0.0,1.0,-1.0
"359 WEST 46 STREET New York, NY 10036",0.0,1.0,-1.0
"359 WEST 48 STREET New York, NY 10036",0.0,1.0,-1.0
"3590 BROADWAY New York, NY 10031",0.0,1.0,-1.0
"36 AVENUE A New York, NY 10009",1.0,0.0,1.0
"36 BARROW STREET New York, NY 10014",0.0,1.0,-1.0
"36 BEDFORD STREET New York, NY 10014",0.0,2.0,-2.0
"36 BETHUNE STREET New York, NY 10014",0.0,1.0,-1.0
"36 DOMINICK STREET New York, NY 10013",0.0,2.0,-2.0
"36 EAST 1 STREET New York, NY 10003",0.0,1.0,-1.0
"36 EAST 126 STREET New York, NY 10035",0.0,2.0,-2.0
"36 EAST 2 STREET New York, NY 10003",0.0,2.0,-2.0
"36 EAST 22 STREET New York, NY 10010",0.0,1.0,-1.0
"36 EAST 38 STREET New York, NY 10016",0.0,1.0,-1.0
"36 EAST 39 STREET New York, NY 10016",2.0,0.0,2.0
"36 EAST 60 STREET New York, NY 10022",2.0,3.0,-1.0
"36 EAST 68 STREET New York, NY 10065",0.0,2.0,-2.0
"36 EAST 72 STREET New York, NY 10021",2.0,3.0,-1.0
"36 EDGECOMBE AVENUE New York, NY 10030",0.0,2.0,-2.0
"36 ELLWOOD STREET New York, NY 10040",15.0,4.0,11.0
"36 GRAMERCY PARK New York, NY 10003",43.0,52.0,-9.0
"36 HAMILTON TERRACE New York, NY 10031",0.0,2.0,-2.0
"36 HORATIO STREET New York, NY 10014",1.0,0.0,1.0
"36 LUDLOW STREET New York, NY 10002",3.0,0.0,3.0
"36 MARKET STREET New York, NY 10002",0.0,1.0,-1.0
"36 MONROE STREET New York, NY 10002",5.0,1.0,4.0
"36 MORNINGSIDE AVENUE New York, NY 10026",0.0,2.0,-2.0
"36 MORTON STREET New York, NY 10014",0.0,1.0,-1.0
"36 MULBERRY STREET New York, NY 10013",0.0,1.0,-1.0
"36 PECK SLIP New York, NY 10038",1.0,2.0,-1.0
"36 PERRY STREET New York, NY 10014",0.0,2.0,-2.0
"36 REAR BETHUNE STREET New York, NY 10014",0.0,1.0,-1.0
"36 RIVERSIDE DRIVE New York, NY 10023",1.0,0.0,1.0
"36 ST NICHOLAS PLACE New York, NY 10031",1.0,0.0,1.0
"36 UNION SQUARE New York, NY 10003",0.0,5.0,-5.0
"36 WEST 10 STREET New York, NY 10011",0.0,2.0,-2.0
"36 WEST 11 STREET New York, NY 10011",0.0,2.0,-2.0
"36 WEST 119 STREET New York, NY 10026",2.0,1.0,1.0
"36 WEST 123 STREET New York, NY 10027",2.0,1.0,1.0
"36 WEST 130 STREET New York, NY 10037",0.0,2.0,-2.0
"36 WEST 131 STREET New York, NY 10037",5.0,6.0,-1.0
"36 WEST 138 STREET New York, NY 10037",0.0,2.0,-2.0
"36 WEST 139 STREET New York, NY 10037",28.0,43.0,-15.0
"36 WEST 15 STREET New York, NY 10011",0.0,2.0,-2.0
"36 WEST 22 STREET New York, NY 10010",0.0,1.0,-1.0
"36 WEST 26 STREET New York, NY 10010",4.0,1.0,3.0
"36 WEST 35 STREET New York, NY 10001",7.0,1.0,6.0
"36 WEST 56 STREET New York, NY 10019",4.0,0.0,4.0
"36 WEST 71 STREET New York, NY 10023",0.0,2.0,-2.0
"36 WEST 73 STREET New York, NY 10023",3.0,0.0,3.0
"36 WEST 83 STREET New York, NY 10024",0.0,1.0,-1.0
"36 WEST 84 STREET New York, NY 10024",0.0,1.0,-1.0
"36 WEST 85 STREET New York, NY 10024",0.0,1.0,-1.0
"36 WEST 86 STREET New York, NY 10024",0.0,2.0,-2.0
"36 WEST 87 STREET New York, NY 10024",0.0,2.0,-2.0
"36 WEST 88 STREET New York, NY 10024",0.0,1.0,-1.0
"36 WEST 89 STREET New York, NY 10024",1.0,1.0,0.0
"36 WEST 9 STREET New York, NY 10011",0.0,1.0,-1.0
"360 1 AVENUE New York, NY 10010",1.0,0.0,1.0
"360 CABRINI BOULEVARD New York, NY 10040",0.0,1.0,-1.0
"360 CENTRAL PARK WEST New York, NY 10025",14.0,7.0,7.0
"360 EAST 50 STREET New York, NY 10022",5.0,2.0,3.0
"360 EAST 57 STREET New York, NY 10022",0.0,1.0,-1.0
"360 EAST 88 STREET New York, NY 10128",0.0,1.0,-1.0
"360 WEST 11 STREET New York, NY 10014",0.0,1.0,-1.0
"360 WEST 116 STREET New York, NY 10026",0.0,1.0,-1.0
"360 WEST 117 STREET New York, NY 10026",1.0,0.0,1.0
"360 WEST 122 STREET New York, NY 10027",0.0,2.0,-2.0
"360 WEST 123 STREET New York, NY 10027",0.0,1.0,-1.0
"360 WEST 20 STREET New York, NY 10011",0.0,2.0,-2.0
"360 WEST 21 STREET New York, NY 10011",1.0,1.0,0.0
"360 WEST 22 STREET New York, NY 10011",15.0,4.0,11.0
"360 WEST 23 STREET New York, NY 10011",0.0,1.0,-1.0
"360 WEST 28 STREET New York, NY 10001",0.0,1.0,-1.0
"360 WEST 30 STREET New York, NY 10001",7.0,11.0,-4.0
"360 WEST 45 STREET New York, NY 10036",11.0,4.0,7.0
"360 WEST 51 STREET New York, NY 10019",3.0,5.0,-2.0
"360 WEST 53 STREET New York, NY 10019",4.0,11.0,-7.0
"3600 BROADWAY New York, NY 10031",2.0,9.0,-7.0
"3601 BROADWAY New York, NY 10031",0.0,2.0,-2.0
"3603 BROADWAY New York, NY 10031",1.0,1.0,0.0
"3604 BROADWAY New York, NY 10031",6.0,6.0,0.0
"3605 BROADWAY New York, NY 10031",0.0,1.0,-1.0
"3607 BROADWAY New York, NY 10031",51.0,10.0,41.0
"361 1 AVENUE New York, NY 10010",4.0,3.0,1.0
"361 AUDUBON AVENUE New York, NY 10033",10.0,8.0,2.0
"361 EAST 10 STREET New York, NY 10009",2.0,3.0,-1.0
"361 EAST 50 STREET New York, NY 10022",138.0,38.0,100.0
"361 GREENWICH STREET New York, NY 10013",0.0,1.0,-1.0
"361 MADISON AVENUE New York, NY 10017",0.0,2.0,-2.0
"361 WEST 116 STREET New York, NY 10026",0.0,2.0,-2.0
"361 WEST 120 STREET New York, NY 10027",0.0,1.0,-1.0
"361 WEST 126 STREET New York, NY 10027",1.0,6.0,-5.0
"361 WEST 19 STREET New York, NY 10011",1.0,0.0,1.0
"361 WEST 20 STREET New York, NY 10011",0.0,1.0,-1.0
"361 WEST 22 STREET New York, NY 10011",0.0,2.0,-2.0
"361 WEST 30 STREET New York, NY 10001",0.0,1.0,-1.0
"361 WEST 36 STREET New York, NY 10018",0.0,1.0,-1.0
"361 WEST 46 STREET New York, NY 10036",0.0,1.0,-1.0
"361 WEST 47 STREET New York, NY 10036",0.0,1.0,-1.0
"361 WEST 51 STREET New York, NY 10019",3.0,1.0,2.0
"361 WEST 52 STREET New York, NY 10019",0.0,1.0,-1.0
"3612 BROADWAY New York, NY 10031",88.0,33.0,55.0
"362 EAST 10 STREET New York, NY 10009",0.0,1.0,-1.0
"362 ST NICHOLAS AVENUE New York, NY 10027",0.0,2.0,-2.0
"362 WADSWORTH AVENUE New York, NY 10040",106.0,29.0,77.0
"362 WEST 118 STREET New York, NY 10026",0.0,2.0,-2.0
"362 WEST 119 STREET New York, NY 10026",0.0,1.0,-1.0
"362 WEST 20 STREET New York, NY 10011",0.0,2.0,-2.0
"362 WEST 23 STREET New York, NY 10011",4.0,5.0,-1.0
"362 WEST 30 STREET New York, NY 10001",0.0,1.0,-1.0
"362 WEST 36 STREET New York, NY 10018",0.0,1.0,-1.0
"362 WEST 52 STREET New York, NY 10019",8.0,2.0,6.0
"3621 BROADWAY New York, NY 10031",9.0,9.0,0.0
"3624 BROADWAY New York, NY 10031",47.0,86.0,-39.0
"363 3 AVENUE New York, NY 10016",15.0,14.0,1.0
"363 8 AVENUE New York, NY 10001",2.0,0.0,2.0
"363 CANAL STREET New York, NY 10013",1.0,1.0,0.0
"363 EDGECOMBE AVENUE New York, NY 10031",10.0,10.0,0.0
"363 LENOX AVENUE New York, NY 10027",0.0,1.0,-1.0
"363 PARK AVENUE SOUTH New York, NY 10016",0.0,2.0,-2.0
"363 WEST 120 STREET New York, NY 10027",0.0,2.0,-2.0
"363 WEST 123 STREET New York, NY 10027",1.0,0.0,1.0
"363 WEST 126 STREET New York, NY 10027",2.0,9.0,-7.0
"363 WEST 20 STREET New York, NY 10011",0.0,1.0,-1.0
"363 WEST 30 STREET New York, NY 10001",0.0,1.0,-1.0
"363 WEST 51 STREET New York, NY 10019",0.0,1.0,-1.0
"363 WEST 52 STREET New York, NY 10019",1.0,0.0,1.0
"363 WEST 57 STREET New York, NY 10019",3.0,0.0,3.0
"3631 BROADWAY New York, NY 10031",8.0,26.0,-18.0
"364 3 AVENUE New York, NY 10016",4.0,8.0,-4.0
"364 EAST 10 STREET New York, NY 10009",4.0,1.0,3.0
"364 WEST 117 STREET New York, NY 10026",1.0,2.0,-1.0
"364 WEST 118 STREET New York, NY 10026",0.0,2.0,-2.0
"364 WEST 119 STREET New York, NY 10026",0.0,1.0,-1.0
"364 WEST 121 STREET New York, NY 10027",0.0,1.0,-1.0
"364 WEST 127 STREET New York, NY 10027",5.0,25.0,-20.0
"364 WEST 23 STREET New York, NY 10011",0.0,1.0,-1.0
"364 WEST 51 STREET New York, NY 10019",2.0,13.0,-11.0
"364 WEST 52 STREET New York, NY 10019",0.0,1.0,-1.0
"3640 BROADWAY New York, NY 10031",29.0,5.0,24.0
"3645 BROADWAY New York, NY 10031",26.0,15.0,11.0
"365 3 AVENUE New York, NY 10016",0.0,1.0,-1.0
"365 9 AVENUE New York, NY 10001",1.0,0.0,1.0
"365 EDGECOMBE AVENUE New York, NY 10031",3.0,18.0,-15.0
"365 LENOX AVENUE New York, NY 10027",1.0,1.0,0.0
"365 SOUTH END AVENUE New York, NY 10280",1.0,0.0,1.0
"365 WEST 116 STREET New York, NY 10026",1.0,0.0,1.0
"365 WEST 126 STREET New York, NY 10027",10.0,3.0,7.0
"365 WEST 19 STREET New York, NY 10011",0.0,1.0,-1.0
"365 WEST 25 STREET New York, NY 10001",2.0,2.0,0.0
"365 WEST 28 STREET New York, NY 10001",2.0,0.0,2.0
"365 WEST 46 STREET New York, NY 10036",0.0,1.0,-1.0
"365 WEST 50 STREET New York, NY 10019",2.0,0.0,2.0
"365 WEST END AVENUE New York, NY 10024",3.0,1.0,2.0
"3653 BROADWAY New York, NY 10031",3.0,0.0,3.0
"366 EAST 8 STREET New York, NY 10009",0.0,1.0,-1.0
"366 ST NICHOLAS AVENUE New York, NY 10027",1.0,1.0,0.0
"366 WADSWORTH AVENUE New York, NY 10040",7.0,31.0,-24.0
"366 WEST 118 STREET New York, NY 10026",0.0,2.0,-2.0
"366 WEST 127 STREET New York, NY 10027",12.0,35.0,-23.0
"366 WEST 30 STREET New York, NY 10001",3.0,4.0,-1.0
"366 WEST 46 STREET New York, NY 10036",0.0,2.0,-2.0
"366 WEST 52 STREET New York, NY 10019",11.0,23.0,-12.0
"3660 BROADWAY New York, NY 10031",37.0,49.0,-12.0
"3661 BROADWAY New York, NY 10031",31.0,118.0,-87.0
"367 BLEECKER STREET New York, NY 10014",0.0,2.0,-2.0
"367 BROOME STREET New York, NY 10013",1.0,2.0,-1.0
"367 EAST 10 STREET New York, NY 10009",0.0,1.0,-1.0
"367 EDGECOMBE AVENUE New York, NY 10031",1.0,13.0,-12.0
"367 LENOX AVENUE New York, NY 10027",0.0,1.0,-1.0
"367 WADSWORTH AVENUE New York, NY 10040",5.0,4.0,1.0
"367 WEST 116 STREET New York, NY 10026",0.0,1.0,-1.0
"367 WEST 117 STREET New York, NY 10026",0.0,1.0,-1.0
"367 WEST 126 STREET New York, NY 10027",1.0,3.0,-2.0
"367 WEST 19 STREET New York, NY 10011",0.0,1.0,-1.0
"367 WEST 46 STREET New York, NY 10036",0.0,2.0,-2.0
"367 WEST 48 STREET New York, NY 10036",0.0,1.0,-1.0
"3671 BROADWAY New York, NY 10031",47.0,48.0,-1.0
"3675 BROADWAY New York, NY 10031",3.0,19.0,-16.0
"3679 BROADWAY New York, NY 10031",2.0,2.0,0.0
"368 8 AVENUE New York, NY 10001",0.0,1.0,-1.0
"368 CONVENT AVENUE New York, NY 10031",0.0,1.0,-1.0
"368 WEST 118 STREET New York, NY 10026",2.0,5.0,-3.0
"368 WEST 127 STREET New York, NY 10027",1.0,3.0,-2.0
"368 WEST 50 STREET New York, NY 10019",0.0,1.0,-1.0
"368 WEST 52 STREET New York, NY 10019",0.0,1.0,-1.0
"3680 BROADWAY New York, NY 10031",0.0,2.0,-2.0
"369 1 AVENUE New York, NY 10010",9.0,1.0,8.0
"369 BLEECKER STREET New York, NY 10014",0.0,1.0,-1.0
"369 CONVENT AVENUE New York, NY 10031",6.0,16.0,-10.0
"369 EDGECOMBE AVENUE New York, NY 10031",13.0,14.0,-1.0
"369 LENOX AVENUE New York, NY 10027",0.0,1.0,-1.0
"369 MANHATTAN AVENUE New York, NY 10026",2.0,0.0,2.0
"369 WEST 116 STREET New York, NY 10026",13.0,39.0,-26.0
"369 WEST 123 STREET New York, NY 10027",0.0,2.0,-2.0
"369 WEST 35 STREET New York, NY 10001",0.0,1.0,-1.0
"369 WEST 48 STREET New York, NY 10036",0.0,1.0,-1.0
"3692 BROADWAY New York, NY 10031",1.0,3.0,-2.0
"3694 BROADWAY New York, NY 10031",5.0,27.0,-22.0
"37 7 AVENUE New York, NY 10011",0.0,10.0,-10.0
"37 ALLEN STREET New York, NY 10002",0.0,1.0,-1.0
"37 CATHERINE STREET New York, NY 10038",1.0,1.0,0.0
"37 CHARLES STREET New York, NY 10014",0.0,2.0,-2.0
"37 CROSBY STREET New York, NY 10013",0.0,1.0,-1.0
"37 EAST 7 STREET New York, NY 10003",1.0,0.0,1.0
"37 EAST 74 STREET New York, NY 10021",0.0,1.0,-1.0
"37 EAST 83 STREET New York, NY 10028",0.0,1.0,-1.0
"37 GREENWICH AVENUE New York, NY 10014",0.0,2.0,-2.0
"37 HENRY STREET New York, NY 10002",2.0,2.0,0.0
"37 JANE STREET New York, NY 10014",3.0,4.0,-1.0
"37 MARKET STREET New York, NY 10002",1.0,0.0,1.0
"37 MORNINGSIDE AVENUE New York, NY 10026",0.0,2.0,-2.0
"37 OVERLOOK TERRACE New York, NY 10033",4.0,0.0,4.0
"37 PAYSON AVENUE New York, NY 10034",9.0,0.0,9.0
"37 REAR CROSBY STREET New York, NY 10013",0.0,2.0,-2.0
"37 SICKLES STREET New York, NY 10040",49.0,23.0,26.0
"37 SPRING STREET New York, NY 10012",1.0,2.0,-1.0
"37 VERMILYEA AVENUE New York, NY 10034",33.0,51.0,-18.0
"37 WALL STREET New York, NY 10005",3.0,0.0,3.0
"37 WARREN STREET New York, NY 10007",0.0,1.0,-1.0
"37 WEST 10 STREET New York, NY 10011",0.0,2.0,-2.0
"37 WEST 12 STREET New York, NY 10011",0.0,1.0,-1.0
"37 WEST 126 STREET New York, NY 10027",0.0,2.0,-2.0
"37 WEST 130 STREET New York, NY 10037",0.0,1.0,-1.0
"37 WEST 138 STREET New York, NY 10037",0.0,2.0,-2.0
"37 WEST 19 STREET New York, NY 10011",2.0,3.0,-1.0
"37 WEST 46 STREET New York, NY 10036",0.0,2.0,-2.0
"37 WEST 54 STREET New York, NY 10019",1.0,1.0,0.0
"37 WEST 71 STREET New York, NY 10023",0.0,1.0,-1.0
"37 WEST 72 STREET New York, NY 10023",0.0,1.0,-1.0
"37 WEST 76 STREET New York, NY 10023",5.0,7.0,-2.0
"37 WEST 8 STREET New York, NY 10011",1.0,3.0,-2.0
"37 WEST 86 STREET New York, NY 10024",0.0,1.0,-1.0
"37 WEST 89 STREET New York, NY 10024",1.0,0.0,1.0
"370 1 AVENUE New York, NY 10010",3.0,0.0,3.0
"370 3 AVENUE New York, NY 10016",0.0,1.0,-1.0
"370 8 AVENUE New York, NY 10001",7.0,9.0,-2.0
"370 BLEECKER STREET New York, NY 10014",0.0,1.0,-1.0
"370 COLUMBUS AVENUE New York, NY 10024",25.0,11.0,14.0
"370 FT WASHINGTON AVENUE New York, NY 10033",39.0,24.0,15.0
"370 LENOX AVENUE New York, NY 10027",5.0,0.0,5.0
"370 MANHATTAN AVENUE New York, NY 10026",29.0,73.0,-44.0
"370 WADSWORTH AVENUE New York, NY 10040",13.0,89.0,-76.0
"370 WEST 11 STREET New York, NY 10014",0.0,2.0,-2.0
"370 WEST 116 STREET New York, NY 10026",1.0,0.0,1.0
"370 WEST 127 STREET New York, NY 10027",5.0,24.0,-19.0
"370 WEST 46 STREET New York, NY 10036",1.0,0.0,1.0
"371 2 AVENUE New York, NY 10010",9.0,0.0,9.0
"371 BLEECKER STREET New York, NY 10014",0.0,2.0,-2.0
"371 EAST 10 STREET New York, NY 10009",2.0,0.0,2.0
"371 EDGECOMBE AVENUE New York, NY 10031",1.0,9.0,-8.0
"371 FT WASHINGTON AVENUE New York, NY 10033",3.0,13.0,-10.0
"371 WADSWORTH AVENUE New York, NY 10040",10.0,7.0,3.0
"371 WEST 120 STREET New York, NY 10027",1.0,0.0,1.0
"371 WEST 123 STREET New York, NY 10027",0.0,1.0,-1.0
"371 WEST 46 STREET New York, NY 10036",3.0,22.0,-19.0
"371 WEST STREET New York, NY 10014",0.0,1.0,-1.0
"372 5 AVENUE New York, NY 10018",2.0,1.0,1.0
"372 BLEECKER STREET New York, NY 10014",0.0,1.0,-1.0
"372 WEST 11 STREET New York, NY 10014",0.0,2.0,-2.0
"372 WEST 127 STREET New York, NY 10027",6.0,24.0,-18.0
"373 6 AVENUE New York, NY 10014",0.0,1.0,-1.0
"373 BROOME STREET New York, NY 10013",8.0,10.0,-2.0
"373 LENOX AVENUE New York, NY 10027",1.0,0.0,1.0
"373 WEST 123 STREET New York, NY 10027",0.0,1.0,-1.0
"373 WEST 46 STREET New York, NY 10036",0.0,1.0,-1.0
"374 8 AVENUE New York, NY 10001",1.0,0.0,1.0
"374 BLEECKER STREET New York, NY 10014",0.0,1.0,-1.0
"374 BROADWAY New York, NY 10013",2.0,0.0,2.0
"374 EAST 10 STREET New York, NY 10009",2.0,2.0,0.0
"374 WADSWORTH AVENUE New York, NY 10040",2.0,10.0,-8.0
"374 WEST 116 STREET New York, NY 10026",1.0,0.0,1.0
"374 WEST 127 STREET New York, NY 10027",0.0,1.0,-1.0
"375 1 AVENUE New York, NY 10010",12.0,16.0,-4.0
"375 BROOME STREET New York, NY 10013",9.0,15.0,-6.0
"375 CANAL STREET New York, NY 10013",0.0,1.0,-1.0
"375 EAST 10 STREET New York, NY 10009",0.0,1.0,-1.0
"375 EDGECOMBE AVENUE New York, NY 10031",10.0,26.0,-16.0
"375 PLEASANT AVENUE New York, NY 10035",4.0,2.0,2.0
"375 SOUTH END AVENUE New York, NY 10280",8.0,11.0,-3.0
"375 WEST 127 STREET New York, NY 10027",11.0,21.0,-10.0
"3750 BROADWAY New York, NY 10032",52.0,33.0,19.0
"376 3 AVENUE New York, NY 10016",10.0,3.0,7.0
"376 8 AVENUE New York, NY 10001",1.0,0.0,1.0
"376 BLEECKER STREET New York, NY 10014",0.0,1.0,-1.0
"3760 BROADWAY New York, NY 10032",5.0,14.0,-9.0
"3761 BROADWAY New York, NY 10032",33.0,43.0,-10.0
"377 1 AVENUE New York, NY 10010",18.0,20.0,-2.0
"377 BLEECKER STREET New York, NY 10014",0.0,1.0,-1.0
"377 EDGECOMBE AVENUE New York, NY 10031",7.0,19.0,-12.0
"3770 BROADWAY New York, NY 10032",27.0,69.0,-42.0
"378 8 AVENUE New York, NY 10001",0.0,2.0,-2.0
"378 WEST BROADWAY New York, NY 10012",0.0,1.0,-1.0
"378 WEST END AVENUE New York, NY 10024",0.0,2.0,-2.0
"379 1 AVENUE New York, NY 10010",0.0,1.0,-1.0
"379 EDGECOMBE AVENUE New York, NY 10031",4.0,6.0,-2.0
"379 WEST 127 STREET New York, NY 10027",15.0,12.0,3.0
"3799 BROADWAY New York, NY 10032",1.0,0.0,1.0
"38 2 AVENUE New York, NY 10003",1.0,0.0,1.0
"38 8 AVENUE New York, NY 10014",0.0,2.0,-2.0
"38 AVENUE B New York, NY 10009",7.0,50.0,-43.0
"38 BARROW STREET New York, NY 10014",0.0,1.0,-1.0
"38 COMMERCE STREET New York, NY 10014",0.0,2.0,-2.0
"38 EAST 21 STREET New York, NY 10010",1.0,0.0,1.0
"38 EAST 22 STREET New York, NY 10010",3.0,1.0,2.0
"38 EAST 38 STREET New York, NY 10016",1.0,2.0,-1.0
"38 EAST 4 STREET New York, NY 10003",0.0,1.0,-1.0
"38 EAST 7 STREET New York, NY 10003",0.0,1.0,-1.0
"38 EAST 75 STREET New York, NY 10021",1.0,1.0,0.0
"38 EAST 76 STREET New York, NY 10021",0.0,1.0,-1.0
"38 EDGECOMBE AVENUE New York, NY 10030",0.0,2.0,-2.0
"38 ELDRIDGE STREET New York, NY 10002",0.0,1.0,-1.0
"38 FT WASHINGTON AVENUE New York, NY 10032",8.0,18.0,-10.0
"38 GRAND STREET New York, NY 10013",1.0,1.0,0.0
"38 GROVE STREET New York, NY 10014",0.0,2.0,-2.0
"38 KING STREET New York, NY 10014",0.0,2.0,-2.0
"38 LAIGHT STREET New York, NY 10013",0.0,1.0,-1.0
"38 MAC DOUGAL STREET New York, NY 10012",0.0,1.0,-1.0
"38 MARKET STREET New York, NY 10002",0.0,1.0,-1.0
"38 MONROE STREET New York, NY 10002",4.0,2.0,2.0
"38 MORNINGSIDE AVENUE New York, NY 10026",0.0,1.0,-1.0
"38 MURRAY STREET New York, NY 10007",0.0,1.0,-1.0
"38 NORTH MOORE STREET New York, NY 10013",2.0,0.0,2.0
"38 POST AVENUE New York, NY 10034",3.0,0.0,3.0
"38 SICKLES STREET New York, NY 10040",13.0,50.0,-37.0
"38 ST NICHOLAS PLACE New York, NY 10031",39.0,28.0,11.0
"38 STUYVESANT STREET New York, NY 10003",0.0,1.0,-1.0
"38 WARREN STREET New York, NY 10007",2.0,0.0,2.0
"38 WEST 10 STREET New York, NY 10011",0.0,1.0,-1.0
"38 WEST 106 STREET New York, NY 10025",0.0,2.0,-2.0
"38 WEST 127 STREET New York, NY 10027",0.0,2.0,-2.0
"38 WEST 129 STREET New York, NY 10027",1.0,0.0,1.0
"38 WEST 130 STREET New York, NY 10037",1.0,0.0,1.0
"38 WEST 15 STREET New York, NY 10011",0.0,2.0,-2.0
"38 WEST 45 STREET New York, NY 10036",0.0,2.0,-2.0
"38 WEST 55 STREET New York, NY 10019",0.0,1.0,-1.0
"38 WEST 69 STREET New York, NY 10023",0.0,1.0,-1.0
"38 WEST 70 STREET New York, NY 10023",0.0,2.0,-2.0
"38 WEST 71 STREET New York, NY 10023",0.0,2.0,-2.0
"38 WEST 74 STREET New York, NY 10023",3.0,1.0,2.0
"38 WEST 87 STREET New York, NY 10024",0.0,1.0,-1.0
"38 WEST 94 STREET New York, NY 10025",0.0,2.0,-2.0
"38 WEST 96 STREET New York, NY 10025",0.0,1.0,-1.0
"38 WHITE STREET New York, NY 10013",0.0,1.0,-1.0
"380 BLEECKER STREET New York, NY 10014",8.0,13.0,-5.0
"380 BROOME STREET New York, NY 10013",10.0,19.0,-9.0
"380 COLUMBUS AVENUE New York, NY 10024",12.0,2.0,10.0
"380 EAST 10 STREET New York, NY 10009",7.0,8.0,-1.0
"3800 BROADWAY New York, NY 10032",9.0,43.0,-34.0
"381 1 AVENUE New York, NY 10010",6.0,3.0,3.0
"381 BLEECKER STREET New York, NY 10014",0.0,1.0,-1.0
"381 BROOME STREET New York, NY 10013",0.0,2.0,-2.0
"381 EAST 10 STREET New York, NY 10009",0.0,1.0,-1.0
"381 LENOX AVENUE New York, NY 10027",1.0,0.0,1.0
"3810 BROADWAY New York, NY 10032",1.0,9.0,-8.0
"382 2 AVENUE New York, NY 10010",2.0,0.0,2.0
"382 3 AVENUE New York, NY 10016",1.0,0.0,1.0
"382 BLEECKER STREET New York, NY 10014",1.0,1.0,0.0
"382 CENTRAL PARK WEST New York, NY 10025",3.0,1.0,2.0
"382 EAST 10 STREET New York, NY 10009",21.0,12.0,9.0
"382 FT WASHINGTON AVENUE New York, NY 10033",1.0,4.0,-3.0
"382 WADSWORTH AVENUE New York, NY 10040",7.0,14.0,-7.0
"382 WEST STREET New York, NY 10014",0.0,2.0,-2.0
"3820 BROADWAY New York, NY 10032",12.0,32.0,-20.0
"3828 BROADWAY New York, NY 10032",12.0,25.0,-13.0
"383 1 AVENUE New York, NY 10010",5.0,2.0,3.0
"383 8 AVENUE New York, NY 10001",0.0,2.0,-2.0
"383 BLEECKER STREET New York, NY 10014",3.0,2.0,1.0
"383 WEST 125 STREET New York, NY 10027",7.0,6.0,1.0
"383 WEST BROADWAY New York, NY 10012",0.0,1.0,-1.0
"384 BROOME STREET New York, NY 10013",3.0,8.0,-5.0
"384 EAST 10 STREET New York, NY 10009",5.0,1.0,4.0
"384 MANHATTAN AVENUE New York, NY 10026",0.0,2.0,-2.0
"384 WEST STREET New York, NY 10014",0.0,2.0,-2.0
"3840 BROADWAY New York, NY 10032",8.0,10.0,-2.0
"3841 BROADWAY New York, NY 10032",53.0,155.0,-102.0
"385 1 AVENUE New York, NY 10010",3.0,1.0,2.0
"385 3 AVENUE New York, NY 10016",1.0,1.0,0.0
"385 6 AVENUE New York, NY 10014",0.0,1.0,-1.0
